,STATION,LAT,LON,FF,Pickup_Count,Dropoff_count,Ratio Pickup/FF,Pickup div Drop_off
83,STILLWELL AVE-CONEY ISLAND,40.584809,-73.9830039,22230,,,0,#DIV/0!
75,SUTPHIN BLVD-HILLSIDE AVE,40.7055897,-73.8100753,13400,1,3,7.46269E-05,0.333333333
12,SUTPHIN BOULEVARD,40.6945556,-73.8021147,45887,2,6,4.35853E-05,0.333333333
43,SUTTER AVENUE,40.666746,-73.9129099,17648,,,0,#DIV/0!
88,TOMPKINSVILLE,40.6364926,-74.0854193,2437,1,26,0.000410341,0.038461538
118,UNION STREET-4TH AVENUE,40.6771863,-73.9832016,15195,10,17,0.000658111,0.588235294
84,UNION TURNPIKE-KEW GARDENS,40.7136948,-73.8300605,49822,4,3,8.02858E-05,1.333333333
42,UTICA AVENUE,40.662756,-73.9315559,50977,1,4,1.96167E-05,0.25
48,VAN SICLEN AVENUE,40.662014,-73.8868139,7809,,,0,#DIV/0!
201,VAN SICLEN AVE-PITKIN AVE,40.672717,-73.8903216,7103,,,0,#DIV/0!
13,WALL STREET,40.7060176,-74.008831,74185,57,67,0.000768349,0.850746269
14,WALL STREET,40.7060176,-74.008831,65159,57,67,0.000874783,0.850746269
81,WEST 4TH ST-WASHINGTON SQ,40.731059,-74.0014015,108849,156,115,0.001433178,1.356521739
66,WESTCHESTER SQUARE,40.8408333,-73.8430556,12275,1,2,8.14664E-05,0.5
0,WHITEHALL STREET,40.562644,-74.1237739,42006,,2,0,0
101,WOODHAVEN BLVD-QUEENS BLVD,40.733229,-73.8696415,50847,,1,0,0
3,WOODHAVEN BOULEVARD,40.7333057,-73.870596,9806,1,1,0.000101978,1
33,WOODLAWN ROAD,40.898155,-73.8673573,11280,,,0,#DIV/0!
146,YORK STREET-JAY STREET,40.7013735,-73.9866843,19713,14,25,0.000710191,0.56
156,ZEREGA AVE-WESTCHESTER AVE,40.8366151,-73.8470306,11966,,3,0,0
