,STATION,LAT,LON,FF
392,PROSPECT AVENUE-WESTCHESTER   ,40.8196507,-73.9016566,16457
394,SIMPSON ST-WESTCHESTER AVE    ,40.8241366,-73.8929648,16921
395,FREEMAN ST-SOUTHERN BLVD      ,40.8299195,-73.8917941,10781
398,KNICKERBOCKER AVE-MYRTLE AV   ,40.6987479,-73.9189811,8854
405,DITMAS AVE-MCDONALD AVE       ,40.6363063,-73.9781943,12166
406,AVENUE I-MCDONALD AVENUE      ,40.647694,-73.9803639,5089
409,AVENUE P-MCDONALD AVENUE      ,40.6088388,-73.9729855,7527
410,AVENUE U-MCDONALD AVENUE      ,40.596017,-73.9733635,5130
414,PELHAM PKWY-ESPLANADE         ,40.859229,-73.855036,8354
417,ALABAMA AVENUE-FULTON ST      ,40.6768986,-73.8992908,3259
419,CLEVELAND STREET-FULTON ST    ,40.6796142,-73.8857367,9042
420,NORWOOD AVENUE-FULTON ST      ,40.6817017,-73.8790759,9443
421,CRESCENT STREET-FULTON ST     ,40.6833496,-73.873286,12126
424,LIBERTY AVE-PENNSYLVANIA AV   ,40.6744049,-73.8965126,5285
425,VAN SICLEN AVE-PITKIN AVE     ,40.672717,-73.8903216,7103
429,138TH STREET-3RD AVE          ,40.81005,-73.925142,16400
433,EAST 149TH ST-SOUTHERN BLVD   ,40.8119971,-73.9041966,9494
434,LONGWOOD AVE-SOUTHERN BLVD    ,40.8162276,-73.896217,7378
436,72ND STREET & BROADWAY        ,40.7790164,-73.9818618,97663
437,23RD STREET-6TH AVENUE        ,40.7428886,-73.992802,28742
443,CANAL STREET-BROADWAY         ,40.7195085,-74.0016067,31995
448,AIRTRAIN @ HOWARD BEACH       ,40.662031,-73.8263643,15663
